id;id_textual;nom;activat;visible_publicacio;id_pare
52080;PU_TAGS;Tags;0;0;
52122;PUTAGSCR;Catalunya Ràdio;0;0;52080
57358;EPSTEIN;Epstein;0;0;52080
52104;PUTAGESPORTS;Esports;0;1;52080
52099;PUTAGS324;Notícies;0;0;52080
54781;PUTAGSSUPER3;SX3;0;0;52080
52121;PUTAGSTV3;Tv3;0;0;52080
53116;BCNFASHION;080 Barcelona Fashion;0;0;52099
52237;DIADA;11S;0;0;52099
54456;ATEMPTATS11S;11S Atemptats;0;0;52099
52916;HISPANITAT;12-O;0;0;52099
52886;SETEMBRE;20S;0;1;52099
53071;CONSELL21D;21D;0;1;52099
53528;CAT53528;324 més vist 2019;0;1;52099
52476;MESVIST;324mésvist 2017;0;1;52099
53085;MESVIST2018;324mésvist 2018;0;1;52099
57044;INFO;3CatInfo;0;0;52099
56267;VERIFICACIO;3CatInfo Verifica;0;0;52099
52612;VAGADIADONA;8M;0;0;52099
52970;NOUNOVEMBRE;9N;0;0;52099
53165;NOMENGANYEN;A mi no m'enganyen;0;1;52121
53108;MONTSERRAT;Abadia de Montserrat;0;0;52099
53547;ABELARDO;Abelardo;0;1;52104
52829;ABIDAL;Abidal;0;1;52104
52352;ACB;ACB;0;0;52104
57277;TRENCORDOVA;Accident tren Còrdova;0;0;52099
55396;PUAGR_ACTFAM;Activitats en família;0;0;54781
52845;ADACOLAU;Ada Colau;0;0;52099
54457;AEROPORTPRAT;Aeroport del Prat;0;0;52099
52844;AEROPORTS;Aeroports;0;0;52099
54437;AFGANISTAN;Afganistan;0;0;52099
53265;AFRICA;Àfrica;0;0;52099
56248;AEE;Agència Espacial Europea;0;0;52099
54540;AGTRIBUTARIA;Agència Tributària ;0;0;52099
52656;AGRESSIOSEX;Agressió sexual;0;0;52099
53383;AGRICULTURA;Agricultura;0;0;52099
54168;AGRUPCONTING;Agrupacions continguts;0;1;52121
54409;AGUERO;Agüero;0;1;52104
53479;AIGUESBCN;Aigües de Barcelona;0;0;52099
55504;AITANABONMAT;Aitana Bonmatí;0;0;52104
53481;AJBARCELONA;Ajuntament de Barcelona;0;0;52099
52228;ALQAEDA;Al Qaeda;0;0;52099
52818;ALBAVERGES;Alba Vergés;0;0;52099
53167;ADANTEFACHIN;Albano-Dante Fachin;0;1;52099
52765;ALBERTRIVERA;Albert Rivera;0;1;52099
54670;FEIJOO;Alberto Núñez Feijóo;0;0;52099
54261;AFERNANDEZ;Alejandro Fernández;0;0;52099
54280;NAVALNI;Aleksei Navalni;0;0;52099
53054;ALEMANYA;Alemanya;0;0;52099
54498;AMARQUEZ;Àlex Márquez;0;0;52104
